"
stimulus_presentations_id","stimulus_block
","stimulus_block_name
","image_index
","image_name
","movie_frame_index
","duration
","start_time
","end_time
","start_frame
","end_frame
","is_change
","is_image_novel
","omitted
","movie_repeat
","flashes_since_change
","trials_id
","is_sham_change
","stimulus_name
","active
"
5175,3,natural_movie_one,-99,NaN,367,0.03335,4227.064016,4227.097366,252990,252991,False,<NA>,<NA>,0,374,-99,False,natural_movie_one,False
5176,3,natural_movie_one,-99,NaN,368,0.03337,4227.097366,4227.130736,252992,252993,False,<NA>,<NA>,0,375,-99,False,natural_movie_one,False
5177,3,natural_movie_one,-99,NaN,369,0.03343,4227.130736,4227.164166,252994,252995,False,<NA>,<NA>,0,376,-99,False,natural_movie_one,False
5178,3,natural_movie_one,-99,NaN,370,0.03331,4227.164166,4227.197476,252996,252997,False,<NA>,<NA>,0,377,-99,False,natural_movie_one,False
5179,3,natural_movie_one,-99,NaN,371,0.03335,4227.197476,4227.230826,252998,252999,False,<NA>,<NA>,0,378,-99,False,natural_movie_one,False
5180,3,natural_movie_one,-99,NaN,372,0.03336,4227.230826,4227.264186,253000,253001,False,<NA>,<NA>,0,379,-99,False,natural_movie_one,False
5181,3,natural_movie_one,-99,NaN,373,0.03341,4227.264186,4227.297596,253002,253003,False,<NA>,<NA>,0,380,-99,False,natural_movie_one,False
5182,3,natural_movie_one,-99,NaN,374,0.03330,4227.297596,4227.330896,253004,253005,False,<NA>,<NA>,0,381,-99,False,natural_movie_one,False
5183,3,natural_movie_one,-99,NaN,375,0.03343,4227.330896,4227.364326,253006,253007,False,<NA>,<NA>,0,382,-99,False,natural_movie_one,False
5184,3,natural_movie_one,-99,NaN,376,0.03329,4227.364326,4227.397616,253008,253009,False,<NA>,<NA>,0,383,-99,False,natural_movie_one,False
5185,3,natural_movie_one,-99,NaN,377,0.03342,4227.397616,4227.431036,253010,253011,False,<NA>,<NA>,0,384,-99,False,natural_movie_one,False
5186,3,natural_movie_one,-99,NaN,378,0.03327,4227.431036,4227.464306,253012,253013,False,<NA>,<NA>,0,385,-99,False,natural_movie_one,False
5187,3,natural_movie_one,-99,NaN,379,0.03340,4227.464306,4227.497706,253014,253015,False,<NA>,<NA>,0,386,-99,False,natural_movie_one,False
5188,3,natural_movie_one,-99,NaN,380,0.03335,4227.497706,4227.531056,253016,253017,False,<NA>,<NA>,0,387,-99,False,natural_movie_one,False
5189,3,natural_movie_one,-99,NaN,381,0.03343,4227.531056,4227.564486,253018,253019,False,<NA>,<NA>,0,388,-99,False,natural_movie_one,False
5190,3,natural_movie_one,-99,NaN,382,0.03329,4227.564486,4227.597776,253020,253021,False,<NA>,<NA>,0,389,-99,False,natural_movie_one,False
5191,3,natural_movie_one,-99,NaN,383,0.03336,4227.597776,4227.631136,253022,253023,False,<NA>,<NA>,0,390,-99,False,natural_movie_one,False
5192,3,natural_movie_one,-99,NaN,384,0.03341,4227.631136,4227.664546,253024,253025,False,<NA>,<NA>,0,391,-99,False,natural_movie_one,False
5193,3,natural_movie_one,-99,NaN,385,0.03333,4227.664546,4227.697876,253026,253027,False,<NA>,<NA>,0,392,-99,False,natural_movie_one,False
5194,3,natural_movie_one,-99,NaN,386,0.03335,4227.697876,4227.731226,253028,253029,False,<NA>,<NA>,0,393,-99,False,natural_movie_one,False
5195,3,natural_movie_one,-99,NaN,387,0.03335,4227.731226,4227.764576,253030,253031,False,<NA>,<NA>,0,394,-99,False,natural_movie_one,False
5196,3,natural_movie_one,-99,NaN,388,0.03336,4227.764576,4227.797936,253032,253033,False,<NA>,<NA>,0,395,-99,False,natural_movie_one,False
5197,3,natural_movie_one,-99,NaN,389,0.03336,4227.797936,4227.831296,253034,253035,False,<NA>,<NA>,0,396,-99,False,natural_movie_one,False
5198,3,natural_movie_one,-99,NaN,390,0.03336,4227.831296,4227.864656,253036,253037,False,<NA>,<NA>,0,397,-99,False,natural_movie_one,False
5199,3,natural_movie_one,-99,NaN,391,0.03335,4227.864656,4227.898006,253038,253039,False,<NA>,<NA>,0,398,-99,False,natural_movie_one,False
5200,3,natural_movie_one,-99,NaN,392,0.03335,4227.898006,4227.931356,253040,253041,False,<NA>,<NA>,0,399,-99,False,natural_movie_one,False
5201,3,natural_movie_one,-99,NaN,393,0.03348,4227.931356,4227.964836,253042,253043,False,<NA>,<NA>,0,400,-99,False,natural_movie_one,False
5202,3,natural_movie_one,-99,NaN,394,0.03327,4227.964836,4227.998106,253044,253045,False,<NA>,<NA>,0,401,-99,False,natural_movie_one,False
5203,3,natural_movie_one,-99,NaN,395,0.03341,4227.998106,4228.031516,253046,253047,False,<NA>,<NA>,0,402,-99,False,natural_movie_one,False
5204,3,natural_movie_one,-99,NaN,396,0.03339,4228.031516,4228.064906,253048,253049,False,<NA>,<NA>,0,403,-99,False,natural_movie_one,False
5205,3,natural_movie_one,-99,NaN,397,0.03336,4228.064906,4228.098266,253050,253051,False,<NA>,<NA>,0,404,-99,False,natural_movie_one,False
5206,3,natural_movie_one,-99,NaN,398,0.03331,4228.098266,4228.131576,253052,253053,False,<NA>,<NA>,0,405,-99,False,natural_movie_one,False
